file_name,row_count,created_successfully,notes
diagnostics/rerun_status.csv,24,True,
diagnostics/summary_metric_comparison.csv,240,True,
export_manifest.csv,18,True,
optional_exports/resource_moderate_layer_recovery_by_step.csv,160,True,
optional_exports/resource_moderate_safety_by_step.csv,40,True,
optional_exports/standard_severe_layer_recovery_by_step.csv,160,True,
optional_exports/standard_severe_safety_by_step.csv,40,True,
process_exports/resource_moderate_action_category_share.csv,4,True,
process_exports/resource_moderate_mean_cumulative_progress.csv,40,True,
process_exports/resource_moderate_mean_stepwise_progress.csv,40,True,
process_exports/resource_moderate_stage_share.csv,1,True,
process_exports/standard_severe_action_category_share.csv,5,True,
process_exports/standard_severe_mean_cumulative_progress.csv,40,True,
process_exports/standard_severe_mean_stepwise_progress.csv,40,True,
process_exports/standard_severe_stage_share.csv,2,True,
process_file_inventory.csv,12,True,
reproduced_summary_metrics.csv,6,True,
step_level_trajectories_long.csv,1440,True,
