scenario,seed,round,candidate_id,candidate_source,generation_round,validation_status,fallback_used,fallback_reason,rejection_reason,selection_score,min_recovery_ratio,critical_load_recovery_ratio,safety_capacity_index,mean_progress_delta_eval,wait_hold_usage_eval
standard_moderate,42,1,r1_c1,generated_full_loop_candidate,1,valid,False,,resource_sustainability_collapse,-1000000000.0,0.0,0.0,0.3,0.0,0.0
standard_moderate,42,1,r1_c2,generated_full_loop_candidate,1,valid,False,,resource_sustainability_collapse,-1000000000.0,0.0,0.0,0.3,0.0,0.0
standard_moderate,42,1,r1_anchor,deterministic_safe_anchor,1,valid,True,deterministic_safe_anchor,constraint_violation_not_allowed|invalid_action_not_allowed,0.41554063067270147,0.6127754549185435,0.8742394149303436,0.7549530210409969,0.003208307951104407,0.1615720524017467
standard_moderate,42,1,r1_fixed_global_anchor,fixed_global_safety_anchor,1,valid,True,fixed_global_anchor,,0.41554063067270147,0.6127754549185435,0.8742394149303436,0.7549530210409969,0.003208307951104407,0.1615720524017467
standard_moderate,42,1,r1_backstop,deterministic_safe_backstop,1,valid,True,deterministic_safe_backstop,constraint_violation_not_allowed|invalid_action_not_allowed,0.4235090440597498,0.6169911126295725,0.8696611523628235,0.7629949594140052,0.003138612483562243,0.1688888888888889
standard_moderate,42,2,r2_c1,generated_full_loop_candidate,2,valid,False,,critical_recovery_too_low_vs_reference|progress_delta_too_low_vs_reference|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|resource_sustainability_collapse|not_finish_oriented_under_zero_success|generated_not_competitive_vs_baseline_tolerance,-1000000000.0,0.0,0.0,0.3,0.0,0.0
standard_moderate,42,2,r2_c2,generated_full_loop_candidate,2,valid,False,,critical_recovery_too_low_vs_reference|progress_delta_too_low_vs_reference|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|resource_sustainability_collapse|not_finish_oriented_under_zero_success|generated_not_competitive_vs_baseline_tolerance,-1000000000.0,0.0,0.0,0.3,0.0,0.0
standard_moderate,42,2,r2_feedback_refined,feedback_refined_candidate,1,valid,True,carried_forward_previous_best,,0.41554063067270147,0.6127754549185435,0.8742394149303436,0.7549530210409969,0.003208307951104407,0.1615720524017467
standard_moderate,42,2,r2_single_shot,single_shot_llm_candidate,1,valid,True,single_shot_reference,,0.41554063067270147,0.6127754549185435,0.8742394149303436,0.7549530210409969,0.003208307951104407,0.1615720524017467
standard_moderate,42,2,r2_anchor,deterministic_safe_anchor,2,valid,True,deterministic_safe_anchor,constraint_violation_not_allowed|invalid_action_not_allowed,0.3410723575368804,0.6978997886180878,0.8352493445078532,0.7057882431057072,0.00668047492702802,0.0872093023255814
