scenario,method,seed,metric,v6_value,rerun_value,diff,material_mismatch
resource_moderate,ablation_fixed_global,42,selection_score,0.3455287645061811,,,True
resource_moderate,ablation_fixed_global,42,critical_load_recovery_ratio,0.9092339475949606,,,True
resource_moderate,ablation_fixed_global,42,communication_recovery_ratio,0.6360897521177927,,,True
resource_moderate,ablation_fixed_global,42,power_recovery_ratio,0.8005076150099436,,,True
resource_moderate,ablation_fixed_global,42,road_recovery_ratio,0.5891944567362467,,,True
resource_moderate,ablation_fixed_global,42,constraint_violation_rate_eval,0.0,,,True
resource_moderate,ablation_fixed_global,42,invalid_action_rate_eval,0.0,,,True
resource_moderate,ablation_fixed_global,42,wait_hold_usage_eval,0.35,,,True
resource_moderate,ablation_fixed_global,42,mean_progress_delta_eval,0.0047673282523949,,,True
resource_moderate,ablation_fixed_global,42,eval_success_rate,0.0,,,True
resource_moderate,ablation_fixed_global,43,selection_score,0.3500820246736209,,,True
resource_moderate,ablation_fixed_global,43,critical_load_recovery_ratio,0.927327126264572,,,True
resource_moderate,ablation_fixed_global,43,communication_recovery_ratio,0.6361948053042094,,,True
resource_moderate,ablation_fixed_global,43,power_recovery_ratio,0.8173059423764547,,,True
resource_moderate,ablation_fixed_global,43,road_recovery_ratio,0.5892994999885559,,,True
resource_moderate,ablation_fixed_global,43,constraint_violation_rate_eval,0.0,,,True
resource_moderate,ablation_fixed_global,43,invalid_action_rate_eval,0.0,,,True
resource_moderate,ablation_fixed_global,43,wait_hold_usage_eval,0.35,,,True
resource_moderate,ablation_fixed_global,43,mean_progress_delta_eval,0.004879288872083,,,True
resource_moderate,ablation_fixed_global,43,eval_success_rate,0.0,,,True
resource_moderate,ablation_fixed_global,44,selection_score,0.3348709259827931,,,True
resource_moderate,ablation_fixed_global,44,critical_load_recovery_ratio,0.8667135834693909,,,True
resource_moderate,ablation_fixed_global,44,communication_recovery_ratio,0.6359846989313761,,,True
resource_moderate,ablation_fixed_global,44,power_recovery_ratio,0.7879340251286825,,,True
resource_moderate,ablation_fixed_global,44,road_recovery_ratio,0.5890894134839376,,,True
resource_moderate,ablation_fixed_global,44,constraint_violation_rate_eval,0.0,,,True
resource_moderate,ablation_fixed_global,44,invalid_action_rate_eval,0.0,,,True
resource_moderate,ablation_fixed_global,44,wait_hold_usage_eval,0.35,,,True
resource_moderate,ablation_fixed_global,44,mean_progress_delta_eval,0.0046830927332242,,,True
resource_moderate,ablation_fixed_global,44,eval_success_rate,0.0,,,True
resource_moderate,baseline_rl,42,selection_score,0.2416836268040869,0.19711028196414312,-0.04457334483994377,True
resource_moderate,baseline_rl,42,critical_load_recovery_ratio,0.5893226563930511,0.797023336092631,0.20770067969957984,True
resource_moderate,baseline_rl,42,communication_recovery_ratio,0.47111110885938,0.4844960669676463,0.013384958108266287,False
resource_moderate,baseline_rl,42,power_recovery_ratio,0.5410213967164358,0.647360642751058,0.10633924603462219,True
resource_moderate,baseline_rl,42,road_recovery_ratio,0.4768987447023392,0.4263051748275757,-0.05059356987476349,True
resource_moderate,baseline_rl,42,constraint_violation_rate_eval,0.0,0.25,0.25,True
resource_moderate,baseline_rl,42,invalid_action_rate_eval,0.0,0.25,0.25,True
resource_moderate,baseline_rl,42,wait_hold_usage_eval,0.4666666666666667,0.24166666666666667,-0.225,True
